date,id,prices,price_diff,market_caps,market_caps_diff,total_volumes,total_volumes_diff,date,open,high,low
2018-05-31,bitcoin,0.21,0.009999999999999981,5496973632.29,228112502.75,231891894.57,36524122.349999994,2018-05-31,0.19,0.21,0.17
2018-06-03,bitcoin,0.23,0.010000000000000009,5875301771.79,119246712.69999981,119984983.16,-13895188.730000004,2018-06-03,0.22,0.23,0.22
2018-06-07,bitcoin,0.22,0.0,5580744991.5,-106077953.51000023,87531548.71,-38586454.60000001,2018-06-07,0.23,0.23,0.21
2018-06-11,bitcoin,0.18,-0.020000000000000018,4589235759.84,-598888782.4300003,140182776.98,88850891.91,2018-06-11,0.21,0.21,0.18
2018-06-15,bitcoin,0.17,0.010000000000000009,4452004368.04,288095059.5500002,204772329.27,97720034.62,2018-06-15,0.18,0.18,0.16
2018-06-19,bitcoin,0.16,0.0,5086654525.28,932747615.7599998,58000555.61,21491860.17,2018-06-19,0.16,0.16,0.16
2018-06-23,bitcoin,0.14,-0.01999999999999999,4370833793.37,-554543870.1199999,81070695.98,38669638.38,2018-06-23,0.17,0.17,0.14
2018-06-27,bitcoin,0.13,-0.010000000000000009,3921818752.14,-283260387.5999999,33825704.58,-27088564.340000004,2018-06-27,0.14,0.14,0.13
2018-06-30,bitcoin,0.13,0.010000000000000009,3892880584.75,174468063.9000001,70704522.64,28233011.08,2018-06-30,0.13,0.13,0.12
2018-07-03,bitcoin,0.15,0.009999999999999981,4778626942.25,376080065.6499996,130902702.74,18554324.909999996,2018-07-03,0.14,0.15,0.14
2018-07-07,bitcoin,0.15,0.0,4525124870.37,-62203087.53999996,71050257.75,-4452373.489999995,2018-07-07,0.15,0.15,0.15
2018-07-11,bitcoin,0.13,-0.010000000000000009,4003215315.91,-341800185.34000015,63780388.6,20430185.21,2018-07-11,0.15,0.15,0.13
2018-07-15,bitcoin,0.14,0.0,4257146957.86,-10891368.549999714,56758192.09,-40426834.099999994,2018-07-15,0.13,0.14,0.13
2018-07-19,bitcoin,0.18,0.009999999999999981,5577112658.37,258550541.52999973,327859302.65,177226740.76999998,2018-07-19,0.14,0.18,0.14
2018-07-23,bitcoin,0.17,0.010000000000000009,5278765373.51,203235026.84000015,141054329.94,10553337.289999992,2018-07-23,0.18,0.18,0.16
2018-07-27,bitcoin,0.16,-0.010000000000000009,5124740103.88,-230628011.75,91064087.25,-40329637.75,2018-07-27,0.16,0.17,0.16
2018-07-31,bitcoin,0.15,-0.010000000000000009,4787010510.19,-295030703.32000065,74698278.39,26566039.700000003,2018-07-31,0.17,0.17,0.15
2018-08-03,bitcoin,0.13,-0.010000000000000009,4098027065.02,-286619818.73,76242224.64,-13935848.840000004,2018-08-03,0.14,0.14,0.13
2018-08-07,bitcoin,0.13,0.0,4052674327.1,-22668571.410000324,66660235.96,13497299.300000004,2018-08-07,0.13,0.13,0.13
2018-08-11,bitcoin,0.12,0.0,3598744351.42,-234516650.9000001,106177876.12,-10996848.659999996,2018-08-11,0.13,0.13,0.11
2018-08-15,bitcoin,0.09,-0.010000000000000009,2942845393.78,-291062457.6199999,141265235.71,68390310.43,2018-08-15,0.11,0.11,0.09
