date,id,prices,price_diff,market_caps,market_caps_diff,total_volumes,total_volumes_diff,date,open,high,low
2020-04-03,bitcoin,0.99,-0.010000000000000009,6308898014.11,2010433442.5899992,54229506608.49,13878390183.759995,2020-04-03,1.0,1.0,0.99
2020-04-07,bitcoin,1.0,0.0,6348996817.03,-8862758.19999981,56381821883.68,21596495091.769997,2020-04-07,1.0,1.0,1.0
2020-04-11,bitcoin,1.0,0.0,6360286245.59,8537001.55000019,51970144128.45,8402349678.169998,2020-04-11,1.0,1.0,1.0
2020-04-15,bitcoin,1.0,0.0,6353107084.78,10474745.63999939,41681304662.61,-7176308311.010002,2020-04-15,1.0,1.0,1.0
2020-04-19,bitcoin,1.0,0.0,6348280713.04,-6662935.270000458,45490197746.05,4713419083.200005,2020-04-19,1.0,1.0,1.0
2020-04-23,bitcoin,1.0,0.0,7133234307.71,777388454.2700005,43904285472.12,1918011552.9400024,2020-04-23,1.0,1.01,1.0
2020-04-27,bitcoin,1.0,0.0,7139857876.92,14543527.399999619,45033285595.48,2175422334.7800064,2020-04-27,1.0,1.0,1.0
2020-04-30,bitcoin,1.0,0.0,7692068637.46,557645397.5,75958226742.98,32363006498.489998,2020-04-30,1.0,1.0,1.0
2020-05-03,bitcoin,1.0,0.0,7801751804.26,9021931.289999962,47700364820.97,-7497556975.540001,2020-05-03,1.0,1.0,1.0
2020-05-07,bitcoin,1.0,0.0,7930935317.33,69729273.98999977,56226762724.29,3840487404.1900024,2020-05-07,1.0,1.0,1.0
2020-05-11,bitcoin,1.0,0.0,8473215858.87,159793285.32999992,78389785215.82,21837451667.170006,2020-05-11,1.0,1.0,1.0
2020-05-15,bitcoin,1.0,0.0,8807791056.9,173367387.37999916,59178153296.75,8632666173.349998,2020-05-15,1.0,1.0,1.0
2020-05-19,bitcoin,1.0,0.0,8946398316.11,-29398212.159999847,46748899695.67,4664858471.5,2020-05-19,1.0,1.0,1.0
2020-05-23,bitcoin,1.0,0.0,8904835042.62,-32196644.62999916,32937533708.44,-10288059009.380001,2020-05-23,1.0,1.0,1.0
2020-05-27,bitcoin,1.0,0.0,9000991564.0,-4157375.9799995422,29617065031.25,-4396797964.720001,2020-05-27,1.0,1.0,0.99
2020-05-31,bitcoin,1.0,0.0,9107846024.87,61102283.800001144,37235543390.38,3615297298.069996,2020-05-31,1.0,1.0,1.0
2020-06-03,bitcoin,1.0,-0.010000000000000009,9212094570.57,80888139.20999908,42872995283.2,8824286440.849998,2020-06-03,1.0,1.01,1.0
2020-06-07,bitcoin,1.0,0.0,9281349701.22,13364192.209999084,22910480210.62,-5824478787.889999,2020-06-07,1.0,1.0,1.0
2020-06-11,bitcoin,1.0,0.0,9408692692.62,57907775.01000023,27388578283.86,836138862.9099998,2020-06-11,1.0,1.0,1.0
2020-06-15,bitcoin,1.0,0.0,9493593132.61,11670102.960000992,22865446153.54,-489662195.4599991,2020-06-15,1.0,1.0,1.0
2020-06-19,bitcoin,1.0,0.0,9574951885.11,25104405.560001373,18625870198.27,-2283362372.329998,2020-06-19,1.0,1.0,1.0
2020-06-23,bitcoin,1.0,0.0,9630499942.84,8276720.940000534,22699390532.04,5280159515.810001,2020-06-23,1.0,1.0,1.0
2020-06-27,bitcoin,1.0,0.0,9629325844.44,36448204.20000076,20393765143.25,-395273398.09000015,2020-06-27,1.0,1.0,1.0
