date,id,prices,price_diff,market_caps,market_caps_diff,total_volumes,total_volumes_diff,open,high,low
2015-06-23,bitcoin,243.85,-3.430000000000007,3488498071.6,-48185098.0,37387508.43,-3779293.3200000003,245.48,247.28,243.85
2015-06-27,bitcoin,250.62,8.140000000000015,3589074420.22,117345879.01999998,49080095.22,15074430.159999996,240.54,250.62,240.54
2015-06-30,bitcoin,262.41,6.110000000000014,3760650012.7,88392182.46999979,99893250.07,26695493.059999987,248.35,262.41,248.35
2015-07-03,bitcoin,255.16,0.5099999999999909,3659678537.62,8268432.980000019,42339288.97,-10371878.660000004,257.51,257.51,254.65
2015-07-07,bitcoin,265.38,-3.2200000000000273,3810376692.04,-45156805.71000004,64748934.31,-47135776.89,260.42,271.04,260.42
2015-07-11,bitcoin,291.89,6.8700000000000045,4195301867.78,99780811.29000044,114394387.17,594793.0300000012,269.61,291.89,268.89
2015-07-15,bitcoin,283.95,-2.7200000000000273,4084701354.03,-37683264.02999973,52932167.7,-21513845.67,310.19,310.19,283.95
2015-07-19,bitcoin,272.81,-1.670000000000016,3926969933.48,-24150323.94999981,26896009.89,-25609412.29,276.68,278.37,272.81
2015-07-23,bitcoin,275.61,-0.5699999999999932,3973299338.7,-7171253.370000362,34164576.52,-9076160.829999998,277.25,277.25,274.94
2015-07-27,bitcoin,292.61,0.910000000000025,4219037232.32,13135673.8300004,63540197.33,23291805.0,288.44,292.61,288.39
2015-07-31,bitcoin,283.68,-3.159999999999968,4090154891.22,-45569942.22000027,63971590.59,20091480.300000004,293.99,293.99,283.68
2015-08-03,bitcoin,281.83,0.0999999999999659,4063535808.71,1487557.4299998283,41411646.71,-4753890.109999999,280.7,281.83,280.7
2015-08-07,bitcoin,278.51,0.5,4015651480.28,7143073.720000267,47637462.17,5723354.490000002,284.24,284.24,278.01
2015-08-11,bitcoin,269.87,6.2900000000000205,3909600811.62,92250456.65999985,64124893.0,3341602.780000001,259.8,269.87,259.8
2015-08-15,bitcoin,260.48,-4.649999999999977,3777139796.81,-66534948.32999992,38131976.87,-23148641.690000005,267.71,267.71,260.48
2015-08-19,bitcoin,225.96,-27.120000000000005,3279919634.09,-392348370.21000004,143390129.28,93556995.48,257.82,257.82,225.96
2015-08-23,bitcoin,227.25,-1.9000000000000057,3302029052.64,-26867123.440000057,72465770.67,-29864069.61,234.64,234.64,227.25
2015-08-27,bitcoin,222.97,-2.3000000000000114,3243160210.6,-32655423.26999998,69900344.07,-74378145.47,210.09,225.27,210.09
2015-08-31,bitcoin,230.08,2.0100000000000193,3350144206.29,30175677.57000017,58032869.77,3417558.1300000027,231.66,231.66,228.07
2015-09-03,bitcoin,226.57,-2.069999999999993,3301579143.2,-29483513.5800004,43765322.15,-4016287.0700000003,227.16,228.64,226.57
2015-09-07,bitcoin,240.5,1.3700000000000045,3508277386.75,20941073.599999905,50336412.98,-19777033.32,230.05,240.5,230.05
2015-09-11,bitcoin,240.0,1.2199999999999989,3504653618.53,18853925.35000038,44294574.35,-4236544.530000001,243.56,243.56,237.95
2015-09-15,bitcoin,229.91,-0.30000000000001137,3360764475.47,-3415114.78000021,58562863.2,6445522.590000004,234.91,234.91,229.91
2015-09-19,bitcoin,231.27,-1.079999999999984,3383904198.11,-15097908.589999676,39022087.91,-40584271.82000001,228.46,232.75,228.46
2015-09-23,bitcoin,229.87,-0.009999999999990905,3366614506.8,735121.5300002098,53526673.24,-18259305.6,230.66,230.66,226.45
